Drug Name,CIDs
Naltrexone,4428
Naltrexone,5360515
Naltrexone,5702239
Naltrexone,6321302
Naltrexone,6604527
Naltrexone,11957644
Naltrexone,13307253
Naltrexone,13307259
Naltrexone,21863274
Naltrexone,44286694
Naltrexone,45359037
Naltrexone,66587134
Abacavir,1971
Abacavir,65140
Abacavir,65141
Abacavir,441300
Abacavir,441384
Abacavir,468908
Abacavir,5742631
Abacavir,6328608
Abacavir,9843042
Abacavir,9896099
Abacavir,10660866
Abacavir,11459511
Abacavir,21917711
Abacavir,29926788
Abacavir,29927453
Abacavir,45357590
Abacavir,51371339
Abacavir,75539558
Aluminum hydroxide,115283
Aluminum hydroxide,6328211
Aluminum hydroxide,6328660
Aluminum hydroxide,6366748
Aluminum hydroxide,6915892
Aluminum hydroxide,10176082
Aluminum hydroxide,24848126
Aluminum hydroxide,57357746
Aprepitant,10280285
Aprepitant,56973347
Aprepitant,60196364
Aprepitant,72753980
Aprepitant,76453775
Aprepitant,135413536
Aprepitant,135436758
Aprepitant,135506333
Aprepitant,135506334
Aprepitant,135508525
Aprepitant,135554441
Aprepitant,135761774
Aprepitant,135934924
Aprepitant,135966487
Aprepitant,136132452
Aprepitant,136257803
Aprepitant,137179497
Attapulgite,10038374
Attapulgite,56842194
Attapulgite,56846494
Attapulgite,73415752
Attapulgite,134613182
Attapulgite,155491311
Attapulgite,156594855
Calcium acetate,6116
Calcium acetate,82163
Calcium acetate,517040
Calcium acetate,517184
Calcium acetate,9793899
Calcium carbonate,10112
Calcium carbonate,516889
Calcium carbonate,23616872
Calcium carbonate,24847992
Dolutegravir,46216142
Dolutegravir,54726191
Dolutegravir,57414794
Dolutegravir,129010421
Iron,10690
Iron,19241
Iron,23925
Iron,29936
Iron,105075
Iron,473260
Iron,9837124
Iron,10313045
Iron,11247217
Iron,44153636
Iron,44154032
Iron,76043823
Iron,118701741
Iron,121513918
Iron,156614160
Cimetidine,2756
Cimetidine,50963
Cimetidine,6713913
Cimetidine,24883446
Cimetidine,168326970
Cimetidine,171936236
Clarithromycin,54688
Clarithromycin,84029
Clarithromycin,489010
Clarithromycin,4663848
Clarithromycin,5284534
Clarithromycin,5311050
Clarithromycin,6426662
Clarithromycin,9810688
Clarithromycin,9811194
Clarithromycin,10147055
Clarithromycin,10328822
Clarithromycin,11814635
Clarithromycin,11828745
Clarithromycin,11969952
Clarithromycin,12148640
Clarithromycin,13048687
Clarithromycin,24847953
Clarithromycin,44629879
Clarithromycin,71296890
Clarithromycin,118546736
Clarithromycin,123133950
Clarithromycin,129009994
Clarithromycin,131632320
Clarithromycin,131847083
Clarithromycin,134694742
Clarithromycin,137704810
Clarithromycin,139083132
Clarithromycin,166639083
Clarithromycin,168314470
Clotrimazole,2812
Clotrimazole,24847983
Dexamethasone,1132
Dexamethasone,3003
Dexamethasone,5743
Dexamethasone,9782
Dexamethasone,16961
Dexamethasone,146915
Dexamethasone,451600
Dexamethasone,469455
Dexamethasone,656777
Dexamethasone,969487
Dexamethasone,1150209
Dexamethasone,3036635
Dexamethasone,4369274
Dexamethasone,5702012
Dexamethasone,5702035
Dexamethasone,6432476
Dexamethasone,6603742
Dexamethasone,6604243
Dexamethasone,6610297
Dexamethasone,6610335
Dexamethasone,6710614
Dexamethasone,9830630
Dexamethasone,9865316
Dexamethasone,11014684
Dexamethasone,12315496
Dexamethasone,12358601
Dexamethasone,12358603
Dexamethasone,13848417
Dexamethasone,24848022
Dexamethasone,24848042
Dexamethasone,24848139
Dexamethasone,45357793
Dexamethasone,53841218
Dexamethasone,66630049
Dexamethasone,71315850
Dexamethasone,117072391
Dexamethasone,122130445
Dexamethasone,145705940
Dexamethasone,162394472
Dexamethasone,163285103
Dexamethasone,171036213
Kaolin,16687773
Kaolin,16714199
Kaolin,56841936
Kaolin,77620833
Kaolin,92024769
Lamivudine,3877
Lamivudine,60825
Lamivudine,73339
Lamivudine,441224
Lamivudine,462220
Lamivudine,468908
Lamivudine,6540852
Lamivudine,9811087
Lamivudine,9918607
Lamivudine,15979285
Lamivudine,24847931
Lamivudine,24847932
Lamivudine,171034840
Magnesium oxide,14792
Magnesium oxide,6850729
Magnesium oxide,24848025
Magnesium sulfate,24083
Magnesium sulfate,24843
Magnesium sulfate,167772
Magnesium sulfate,522565
Magnesium sulfate,20581841
Magnesium sulfate,21868754
Magnesium sulfate,22242376
Magnesium sulfate,24193011
Magnesium sulfate,24848000
Magnesium sulfate,24848104
Metformin,4091
Metformin,14219
Metformin,9844104
Miconazole,4189
Miconazole,969503
Miconazole,1150344
Miconazole,6333050
Miconazole,13068663
Miconazole,23083449
Miconazole,101608551
Sucralfate,6398588
Sucralfate,16685689
Sucralfate,16717105
Sucralfate,45357045
Sucralfate,45489764
Sucralfate,50935044
Sucralfate,51049608
Sucralfate,70789197
Sucralfate,71760895
Sucralfate,73355910
Sucralfate,121494085
Sucralfate,132775068
Sucralfate,134129852
Sucralfate,136265268
Sucralfate,137057595
Sucralfate,146171193
Sucralfate,154701092
Sucralfate,154825319
Sucralfate,168311933
Sucralfate,168312150
Sucralfate,168314068
Sucralfate,168314358
Troglitazone,5591
Troglitazone,6518172
Troglitazone,9803337
Troglitazone,9824580
Troglitazone,17756782
Troglitazone,29010888
Troglitazone,49760206
Troglitazone,87873950
Zidovudine,5726
Zidovudine,35370
Zidovudine,122433
Zidovudine,148192
Zidovudine,451515
Zidovudine,455007
Zidovudine,468908
Zidovudine,6327751
Zidovudine,6604386
Zidovudine,6713933
Zidovudine,9811087
Zidovudine,15764402
Zidovudine,22316389
Zidovudine,24847932
Zidovudine,46705354
Betamethasone,3003
Betamethasone,9782
Betamethasone,91620
Betamethasone,111080
Betamethasone,134645
Betamethasone,146364
Betamethasone,2734640
Betamethasone,5702012
Betamethasone,6710614
Betamethasone,11014684
Betamethasone,21140858
Betamethasone,40467076
Betamethasone,40469538
Betamethasone,71083129
Betamethasone,71299643
Betamethasone,123133873
Betamethasone,133634290
Betamethasone,145705940
Betamethasone,163285078
Betamethasone,171035078
Calcitriol (topical),
Alosetron,2099
Alosetron,12564
Alosetron,60758
Alosetron,147717
Alosetron,44558893
Alosetron,155294457
Budesonide,2462
Budesonide,40000
Budesonide,63006
Budesonide,470826
Budesonide,3033890
Budesonide,5281004
Budesonide,5702148
Budesonide,16759566
Budesonide,18647121
Budesonide,24847988
Budesonide,24867460
Budesonide,24944335
Budesonide,45358288
Budesonide,46780910
Budesonide,57404060
Budesonide,73759663
Budesonide,117072410
Budesonide,122361610
Budesonide,129009998
Budesonide,133112890
Budesonide,146159064
Budesonide,163285063
Budesonide,166639899
Bupropion,444
Bupropion,62884
Bupropion,667684
Bupropion,688387
Bupropion,24849133
Bupropion,71776732
Cisapride,2769
Cisapride,656684
Cisapride,5311047
Cisapride,6604902
Cisapride,6917697
Cisapride,6917698
Cisapride,13677778
Cisapride,13677779
Cisapride,44279790
Cisapride,51052073
Cisapride,73416739
Cisapride,87770551
Dexlansoprazole,887
Dexlansoprazole,3883
Dexlansoprazole,9578005
Dexlansoprazole,29922129
Dolasetron,3148
Dolasetron,60654
Dolasetron,3033817
Dolasetron,3033818
Dolasetron,11503972
Dolasetron,14476155
Dolasetron,24839546
Dolasetron,45358867
Dolasetron,49800054
Dolasetron,70687322
Dolasetron,134693995
Dronabinol,2978
Dronabinol,16078
Dronabinol,22462
Dronabinol,134740
Dronabinol,5321846
Dronabinol,11012622
Dronabinol,11120702
Dronabinol,11602136
Eliglustat,11531537
Eliglustat,23652731
Eliglustat,52918379
Eliglustat,129009957
Eliglustat,134693196
Eliglustat,134693197
Esomeprazole,4594
Esomeprazole,130565
Esomeprazole,9568613
Esomeprazole,9568614
Esomeprazole,9579578
Esomeprazole,9601083
Esomeprazole,9842204
Esomeprazole,12047936
Esomeprazole,16048656
Esomeprazole,23669289
Glyburide,3488
Glyburide,10625062
Glyburide,45039355
Glyburide,71749057
Granisetron,3510
Granisetron,451073
Granisetron,5284566
Granisetron,10567024
Granisetron,14788250
Granisetron,17572266
Granisetron,45073490
Granisetron,57516016
Granisetron,59311377
Granisetron,86287410
Granisetron,118701621
Hydrocortisone,3640
Hydrocortisone,3641
Hydrocortisone,5754
Hydrocortisone,68921
Hydrocortisone,108888
Hydrocortisone,172464
Hydrocortisone,229860
Hydrocortisone,657311
Hydrocortisone,969496
Hydrocortisone,1350204
Hydrocortisone,1403277
Hydrocortisone,1768390
Hydrocortisone,1768391
Hydrocortisone,1768392
Hydrocortisone,3246033
Hydrocortisone,5320346
Hydrocortisone,6336184
Hydrocortisone,6603869
Hydrocortisone,6713680
Hydrocortisone,7048969
Hydrocortisone,7067813
Hydrocortisone,8015711
Hydrocortisone,11279933
Hydrocortisone,11869394
Hydrocortisone,11869395
Hydrocortisone,11869396
Hydrocortisone,12304008
Hydrocortisone,14836715
Hydrocortisone,16760505
Hydrocortisone,22841298
Hydrocortisone,24847945
Hydrocortisone,24848127
Hydrocortisone,24848155
Hydrocortisone,24848156
Hydrocortisone,24884070
Hydrocortisone,40488894
Hydrocortisone,54742564
Hydrocortisone,71309567
Hydrocortisone,129009993
Hydrocortisone,163199157
Lansoprazole,3883
Lansoprazole,9578005
Lansoprazole,9578006
Lansoprazole,24847953
Lansoprazole,24848095
Lansoprazole,29922129
Lansoprazole,42624061
Lansoprazole,135444779
Linagliptin,160911
Linagliptin,10096344
Linagliptin,16724338
Linagliptin,25191889
Linagliptin,57389748
Linagliptin,72207243
Linagliptin,77281309
Linagliptin,131674228
Naldemedine,54732242
Naldemedine,71308244
Naloxegol,56959087
Naloxegol,75040638
Nateglinide,4443
Nateglinide,60026
Nateglinide,242761
Nateglinide,443871
Nateglinide,5311309
Nitisinone,115355
Nitisinone,5289053
Omeprazole,3334
Omeprazole,4594
Omeprazole,9568614
Omeprazole,9579578
Omeprazole,14053268
Omeprazole,24848114
Omeprazole,24848157
Omeprazole,71311774
Ondansetron,4595
Ondansetron,667538
Ondansetron,698135
Ondansetron,45358420
Ondansetron,60148404
Ondansetron,155294458
Pantoprazole,4679
Pantoprazole,9908035
Pantoprazole,11181988
Pantoprazole,15008962
Pantoprazole,15602709
Pantoprazole,24761121
Pantoprazole,126843177
Pioglitazone,4829
Pioglitazone,60560
Pioglitazone,17040080
Pioglitazone,29010893
Pioglitazone,29010894
Pioglitazone,53942694
Pioglitazone,71751679
Prednisolone,4894
Prednisolone,5755
Prednisolone,69916
Prednisolone,969504
Prednisolone,3011528
Prednisolone,5702106
Prednisolone,9906908
Prednisolone,11245343
Prednisolone,11865450
Prednisolone,11865451
Prednisolone,11865452
Prednisolone,11865453
Prednisolone,11972590
Prednisolone,14697601
Prednisolone,22809386
Prednisolone,56838871
Prednisolone,71751744
Prednisolone,77519147
Prednisolone,117072386
Prednisolone,129010012
Prednisolone,133664827
Prednisone,1119
Prednisone,4894
Prednisone,4900
Prednisone,5755
Prednisone,5865
Prednisone,637260
Prednisone,941558
Prednisone,1272249
Prednisone,3011527
Prednisone,5289127
Prednisone,5702108
Prednisone,6321212
Prednisone,6604185
Prednisone,11908428
Prednisone,18530265
Prednisone,40469478
Prednisone,117072387
Prednisone,129009910
Rabeprazole,5029
Rabeprazole,9821387
Rabeprazole,9906855
Rabeprazole,10833710
Rabeprazole,11031667
Rabeprazole,14720269
Repaglinide,3285
Repaglinide,4547
Repaglinide,65981
Repaglinide,10422052
Repaglinide,10479034
Repaglinide,29919052
Repaglinide,46835667
Repaglinide,118797166
Repaglinide,138811016
Repaglinide,172418907
Repaglinide,172418908
Rolapitant,10311306
Rolapitant,16203739
Rolapitant,44215723
Rolapitant,70687300
Rolapitant,87348501
Saxagliptin,72913
Saxagliptin,11235729
Saxagliptin,11243969
Saxagliptin,24884011
Saxagliptin,25065291
Saxagliptin,44144606
Saxagliptin,44629644
Saxagliptin,53297473
Saxagliptin,58391580
Saxagliptin,66576989
Saxagliptin,71752157
Saxagliptin,74218663
Saxagliptin,78577434
Saxagliptin,91617922
Saxagliptin,98047158
Saxagliptin,129009973
Saxagliptin,129317852
Saxagliptin,134694638
Saxagliptin,135447066
Sibutramine,5210
Sibutramine,64765
Sibutramine,667542
Sibutramine,937011
Simvastatin,54454
Simvastatin,64718
Simvastatin,101411
Simvastatin,365754
Simvastatin,941617
Simvastatin,1268329
Simvastatin,4677798
Simvastatin,6419910
Simvastatin,6546617
Simvastatin,6604439
Simvastatin,6956366
Simvastatin,9832423
Simvastatin,11166019
Simvastatin,11865464
Simvastatin,11865465
Simvastatin,11865466
Simvastatin,11865467
Simvastatin,13298846
Simvastatin,92131817
Simvastatin,129009928
Simvastatin,134694905
Simvastatin,137705089
Tinidazole,5479
Tinidazole,33007
Triamcinolone,5544
Triamcinolone,6436
Triamcinolone,31307
Triamcinolone,5702125
Triamcinolone,6432032
Triamcinolone,22845741
Triamcinolone,46783135
Triamcinolone,53627537
Triamcinolone,122130023
Triamcinolone,126963573
Triamcinolone,129009976
Triamcinolone,146156743
Abatacept,
Abciximab,3815015
Metreleptin,
Abiraterone,3436
Abiraterone,132971
Abiraterone,9821849
Abiraterone,18395627
Abiraterone,21879648
Abiraterone,44269384
Abiraterone,56587951
Abiraterone,57390073
Abiraterone,86306045
Abiraterone,131632390
Dexfenfluramine,3337
Dexfenfluramine,66264
Dexfenfluramine,66265
Famotidine,3325
Famotidine,5353622
Famotidine,5702160
Famotidine,7062197
Famotidine,9574611
